time,sfe,ssip,rfip,type
"04/02/2022, 15:16:27",3,2,1.0,0
"04/02/2022, 15:16:30",10,5,1.0,0
"04/02/2022, 15:16:33",14,6,1.0,0
"04/02/2022, 15:16:36",18,7,1.0,0
"04/02/2022, 15:16:39",20,7,1.0,0
"04/02/2022, 15:16:42",24,9,1.0,0
"04/02/2022, 15:16:45",30,9,1.0,0
"04/02/2022, 15:16:48",38,10,1.0,0
"04/02/2022, 15:16:51",38,10,1.0,0
"04/02/2022, 15:16:54",48,10,1.0,0
"04/02/2022, 15:16:57",50,10,1.0,0
"04/02/2022, 15:17:00",52,10,1.0,0
"04/02/2022, 15:17:03",58,10,1.0,0
"04/02/2022, 15:17:06",58,10,1.0,0
"04/02/2022, 15:17:09",60,10,1.0,0
"04/02/2022, 15:17:12",66,10,1.0,0
"04/02/2022, 15:17:15",72,10,1.0,0
"04/02/2022, 15:17:18",72,10,1.0,0
"04/02/2022, 15:17:21",74,10,1.0,0
"04/02/2022, 15:17:24",78,10,1.0,0
"04/02/2022, 15:17:27",80,10,1.0,0
"04/02/2022, 15:17:30",80,10,1.0,0
"04/02/2022, 15:17:33",84,10,1.0,0
"04/02/2022, 15:17:36",84,10,1.0,0
"04/02/2022, 15:17:39",88,10,1.0,0
"04/02/2022, 15:17:42",88,10,1.0,0
"04/02/2022, 15:17:45",88,10,1.0,0
"04/02/2022, 15:17:48",88,10,1.0,0
"04/02/2022, 15:17:51",88,10,1.0,0
"04/02/2022, 15:17:54",88,10,1.0,0
"04/02/2022, 15:17:57",90,10,1.0,0
"04/02/2022, 15:18:00",90,10,1.0,0
"04/02/2022, 15:18:03",90,10,1.0,0
"04/02/2022, 15:18:06",90,10,1.0,0
"04/02/2022, 15:18:09",90,10,1.0,0
"04/02/2022, 15:18:12",90,10,1.0,0
"04/02/2022, 15:18:15",90,10,1.0,0
"04/02/2022, 15:18:18",90,10,1.0,0
"04/02/2022, 15:18:21",90,10,1.0,0
"04/02/2022, 15:18:24",90,10,1.0,0
"04/02/2022, 15:18:27",90,10,1.0,0
"04/02/2022, 15:18:30",90,10,1.0,0
"04/02/2022, 15:18:33",90,10,1.0,0
"04/02/2022, 15:18:36",90,10,1.0,0
"04/02/2022, 15:18:39",90,10,1.0,0
"04/02/2022, 15:18:42",90,10,1.0,0
"04/02/2022, 15:18:45",90,10,1.0,0
"04/02/2022, 15:18:48",90,10,1.0,0
"04/02/2022, 15:18:51",90,10,1.0,0
"04/02/2022, 15:18:54",90,10,1.0,0
"04/02/2022, 15:18:57",90,10,1.0,0
"04/02/2022, 15:19:00",90,10,1.0,0
"04/02/2022, 15:19:03",90,10,1.0,0
"04/02/2022, 15:19:06",90,10,1.0,0
"04/02/2022, 15:19:09",90,10,1.0,0
"04/02/2022, 15:19:12",90,10,1.0,0
"04/02/2022, 15:19:15",90,10,1.0,0
"04/02/2022, 15:19:18",90,10,1.0,0
"04/02/2022, 15:19:21",90,10,1.0,0
"04/02/2022, 15:19:24",90,10,1.0,0
"04/02/2022, 15:19:27",90,10,1.0,0
"04/02/2022, 15:19:30",90,10,1.0,0
"04/02/2022, 15:19:33",90,10,1.0,0
"04/02/2022, 15:19:36",90,10,1.0,0
"04/02/2022, 15:19:39",90,10,1.0,0
"04/02/2022, 15:19:42",90,10,1.0,0
"04/02/2022, 15:19:45",90,10,1.0,0
"04/02/2022, 15:19:48",0,0,1.0,0
"04/02/2022, 15:19:51",90,10,1.0,0
"04/02/2022, 15:19:54",90,10,1.0,0
"04/02/2022, 15:19:57",90,10,1.0,0
"04/02/2022, 15:20:00",90,10,1.0,0
"04/02/2022, 15:20:03",90,10,1.0,0
"04/02/2022, 15:20:06",90,10,1.0,0
"04/02/2022, 15:20:09",90,10,1.0,0
"04/02/2022, 15:20:12",90,10,1.0,0
"04/02/2022, 15:20:15",90,10,1.0,0
"04/02/2022, 15:20:18",90,10,1.0,0
"04/02/2022, 15:20:21",90,10,1.0,0
"04/02/2022, 15:20:24",90,10,1.0,0
"04/02/2022, 15:20:27",90,10,1.0,0
"04/02/2022, 15:20:30",90,10,1.0,0
"04/02/2022, 15:20:33",90,10,1.0,0
"04/02/2022, 15:20:36",90,10,1.0,0
"04/02/2022, 15:20:39",90,10,1.0,0
"04/02/2022, 15:20:42",90,10,1.0,0
"04/02/2022, 15:20:45",90,10,1.0,0
"04/02/2022, 15:20:48",90,10,1.0,0
"04/02/2022, 15:20:51",90,10,1.0,0
"04/02/2022, 15:20:54",90,10,1.0,0
"04/02/2022, 15:20:57",90,10,1.0,0
"04/02/2022, 15:21:00",90,10,1.0,0
"04/02/2022, 15:21:03",90,10,1.0,0
"04/02/2022, 15:21:06",90,10,1.0,0
"04/02/2022, 15:21:09",90,10,1.0,0
"04/02/2022, 15:21:12",90,10,1.0,0
"04/02/2022, 15:21:15",90,10,1.0,0
"04/02/2022, 15:21:18",90,10,1.0,0
"04/02/2022, 15:21:21",90,10,1.0,0
"04/02/2022, 15:21:24",90,10,1.0,0
"04/02/2022, 15:21:27",90,10,1.0,0
time,sfe,ssip,rfip,type
"04/02/2022, 15:22:24",239,238,0.008403361344537815,1
"04/02/2022, 15:22:27",536,536,0.0037313432835820895,1
"04/02/2022, 15:22:30",833,833,0.0024009603841536613,1
"04/02/2022, 15:22:33",1018,1018,0.0019646365422396855,1
"04/02/2022, 15:22:36",1217,1217,0.0016433853738701725,1
"04/02/2022, 15:22:39",1416,1416,0.0014124293785310734,1
"04/02/2022, 15:22:42",1614,1614,0.0012391573729863693,1
"04/02/2022, 15:22:45",1813,1813,0.0011031439602868175,1
"04/02/2022, 15:22:48",2002,2002,0.000999000999000999,1
"04/02/2022, 15:22:51",2107,2107,0.0009492168960607499,1
"04/02/2022, 15:22:54",2256,2256,0.0008865248226950354,1
"04/02/2022, 15:22:57",2406,2406,0.0008312551953449709,1
"04/02/2022, 15:23:00",2555,2555,0.0007827788649706458,1
"04/02/2022, 15:23:03",2704,2704,0.0007396449704142012,1
"04/02/2022, 15:23:06",2854,2854,0.000700770847932726,1
"04/02/2022, 15:23:09",3002,3002,0.0006662225183211193,1
"04/02/2022, 15:23:12",3080,3080,0.0006493506493506494,1
"04/02/2022, 15:23:15",3200,3200,0.000625,1
"04/02/2022, 15:23:18",3319,3319,0.0006025911419102139,1
"04/02/2022, 15:23:21",3439,3439,0.0005815644082582146,1
"04/02/2022, 15:23:24",3559,3559,0.000561955605507165,1
"04/02/2022, 15:23:27",3678,3678,0.000543773790103317,1
"04/02/2022, 15:23:30",3798,3798,0.000526592943654555,1
"04/02/2022, 15:23:33",3918,3918,0.0005104645227156713,1
"04/02/2022, 15:23:36",4002,4002,0.0004997501249375312,1
"04/02/2022, 15:23:39",4095,4095,0.0004884004884004884,1
"04/02/2022, 15:23:42",4195,4195,0.0004767580452920143,1
"04/02/2022, 15:23:45",4295,4295,0.00046565774155995343,1
"04/02/2022, 15:23:48",4394,4394,0.0004551661356395084,1
"04/02/2022, 15:23:51",4494,4494,0.0004450378282153983,1
"04/02/2022, 15:23:54",4594,4594,0.00043535045711797995,1
"04/02/2022, 15:23:57",4693,4693,0.0004261666311527807,1
"04/02/2022, 15:24:00",4793,4793,0.00041727519298977677,1
"04/02/2022, 15:24:03",4893,4893,0.0004087471898630697,1
"04/02/2022, 15:24:06",4992,4992,0.00040064102564102563,1
"04/02/2022, 15:24:09",5050,5050,0.00039603960396039607,1
"04/02/2022, 15:24:12",5135,5135,0.00038948393378773126,1
"04/02/2022, 15:24:15",5220,5220,0.0003831417624521073,1
"04/02/2022, 15:24:19",5306,5306,0.0003769317753486619,1
"04/02/2022, 15:24:22",5391,5391,0.0003709886848451122,1
"04/02/2022, 15:24:25",5477,5477,0.0003651634106262553,1
"04/02/2022, 15:24:28",5562,5562,0.0003595828838547285,1
"04/02/2022, 15:24:31",5648,5648,0.0003541076487252125,1
"04/02/2022, 15:24:34",5733,5733,0.00034885749171463456,1
"04/02/2022, 15:24:37",5819,5819,0.00034370166695308474,1
"04/02/2022, 15:24:40",5904,5904,0.00033875338753387534,1
"04/02/2022, 15:24:43",5990,5990,0.000333889816360601,1
"04/02/2022, 15:24:46",6041,6041,0.00033107101473266014,1
"04/02/2022, 15:24:49",6116,6116,0.0003270111183780249,1
"04/02/2022, 15:24:52",6190,6190,0.00032310177705977385,1
"04/02/2022, 15:24:55",6265,6265,0.0003192338387869114,1
"04/02/2022, 15:24:58",6340,6340,0.0003154574132492114,1
"04/02/2022, 15:25:01",6415,6415,0.0003117692907248636,1
"04/02/2022, 15:25:04",6489,6489,0.0003082139004469102,1
"04/02/2022, 15:25:07",6564,6564,0.0003046922608165753,1
"04/02/2022, 15:25:10",6639,6639,0.0003012501882813677,1
"04/02/2022, 15:25:13",6714,6714,0.0002978850163836759,1
"04/02/2022, 15:25:16",6789,6789,0.0002945941964943291,1
"04/02/2022, 15:25:19",6863,6863,0.0002914177473408131,1
"04/02/2022, 15:25:22",6938,6938,0.0002882675122513693,1
"04/02/2022, 15:25:25",7002,7002,0.00028563267637817766,1
"04/02/2022, 15:25:28",7055,7055,0.00028348688873139615,1
"04/02/2022, 15:25:31",7122,7122,0.0002808199943836001,1
"04/02/2022, 15:25:34",7188,7188,0.0002782415136338342,1
"04/02/2022, 15:25:37",7255,7255,0.0002756719503790489,1
"04/02/2022, 15:25:40",7321,7321,0.0002731867231252561,1
"04/02/2022, 15:25:43",7388,7388,0.0002707092582566324,1
"04/02/2022, 15:25:46",7454,7454,0.00026831231553528306,1
"04/02/2022, 15:25:49",7502,7502,0.00026659557451346307,1
"04/02/2022, 15:25:52",7558,7558,0.0002646202699126753,1
"04/02/2022, 15:25:55",7618,7618,0.00026253609871357313,1
"04/02/2022, 15:25:58",7678,7678,0.00026048450117218026,1
"04/02/2022, 15:26:01",7737,7737,0.00025849812588858733,1
"04/02/2022, 15:26:04",7797,7797,0.00025650891368475054,1
"04/02/2022, 15:26:07",7857,7857,0.0002545500827287769,1
"04/02/2022, 15:26:10",7917,7917,0.00025262094227611467,1
"04/02/2022, 15:26:13",7977,7977,0.00025072082236429733,1
"04/02/2022, 15:26:16",8016,8016,0.000249500998003992,1
"04/02/2022, 15:26:19",8076,8076,0.00024764735017335313,1
"04/02/2022, 15:26:22",8136,8136,0.0002458210422812193,1
"04/02/2022, 15:26:25",8196,8196,0.0002440214738897023,1
"04/02/2022, 15:26:28",8255,8255,0.00024227740763173834,1
"04/02/2022, 15:26:31",8315,8315,0.00024052916416115455,1
"04/02/2022, 15:26:35",8375,8375,0.00023880597014925374,1
"04/02/2022, 15:26:38",8435,8435,0.00023710729104919976,1
"04/02/2022, 15:26:40",8495,8495,0.00023543260741612713,1
"04/02/2022, 15:26:44",8655,8655,0.00023108030040439053,1
"04/02/2022, 15:26:47",8951,8951,0.00022343872193051055,1
"04/02/2022, 15:26:50",9245,9245,0.00021633315305570578,1
"04/02/2022, 15:26:53",9502,9502,0.00021048200378867606,1
"04/02/2022, 15:26:56",9653,9653,0.00020718947477468144,1
"04/02/2022, 15:26:59",9849,9849,0.0002030663011473246,1
"04/02/2022, 15:27:02",10046,10046,0.00019908421262193908,1
"04/02/2022, 15:27:05",10242,10242,0.00019527436047646945,1
"04/02/2022, 15:27:08",10439,10439,0.0001915892326851231,1
"04/02/2022, 15:27:11",10550,10550,0.0001895734597156398,1
"04/02/2022, 15:27:14",10698,10698,0.0001869508319312021,1
"04/02/2022, 15:27:18",10846,10846,0.00018439977872026554,1
"04/02/2022, 15:27:21",10888,10888,0.0001836884643644379,1
"04/02/2022, 15:27:24",10996,10996,0.00018188432157148054,1
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
"05/10/2022, 23:19:13",4,4,1.0,0
"05/10/2022, 23:19:16",8,6,1.0,0
"05/10/2022, 23:19:19",10,7,1.0,0
"05/10/2022, 23:19:22",14,8,1.0,0
"05/10/2022, 23:19:25",18,10,1.0,0
"05/10/2022, 23:19:28",24,10,1.0,0
"05/10/2022, 23:19:31",4,0,1.0,0
"05/10/2022, 23:19:34",38,10,1.0,0
"05/10/2022, 23:19:37",42,10,1.0,0
"05/10/2022, 23:19:40",2,0,1.0,0
"05/10/2022, 23:19:43",48,10,1.0,0
"05/10/2022, 23:19:46",4,0,1.0,0
"05/10/2022, 23:19:49",56,10,1.0,0
"05/10/2022, 23:19:52",0,0,1.0,0
"05/10/2022, 23:19:55",58,10,1.0,0
"05/10/2022, 23:19:58",64,10,1.0,0
"05/10/2022, 23:20:01",66,10,1.0,0
"05/10/2022, 23:20:04",68,10,1.0,0
"05/10/2022, 23:20:07",70,10,1.0,0
"05/10/2022, 23:20:10",72,10,1.0,0
"05/10/2022, 23:20:13",74,10,1.0,0
"05/10/2022, 23:20:16",78,10,1.0,0
"05/10/2022, 23:20:19",2,0,1.0,0
"05/10/2022, 23:20:22",80,10,1.0,0
"05/10/2022, 23:20:25",82,10,1.0,0
