time,flowcount
"04/02/2022, 15:16:27",3
"04/02/2022, 15:16:30",11
"04/02/2022, 15:16:33",15
"04/02/2022, 15:16:36",19
"04/02/2022, 15:16:39",21
"04/02/2022, 15:16:42",25
"04/02/2022, 15:16:45",31
"04/02/2022, 15:16:48",39
"04/02/2022, 15:16:51",39
"04/02/2022, 15:16:54",49
"04/02/2022, 15:16:57",51
"04/02/2022, 15:17:00",53
"04/02/2022, 15:17:03",59
"04/02/2022, 15:17:06",59
"04/02/2022, 15:17:09",61
"04/02/2022, 15:17:12",67
"04/02/2022, 15:17:15",73
"04/02/2022, 15:17:18",73
"04/02/2022, 15:17:21",75
"04/02/2022, 15:17:24",79
"04/02/2022, 15:17:27",81
"04/02/2022, 15:17:30",81
"04/02/2022, 15:17:33",85
"04/02/2022, 15:17:36",85
"04/02/2022, 15:17:39",89
"04/02/2022, 15:17:42",89
"04/02/2022, 15:17:45",89
"04/02/2022, 15:17:48",89
"04/02/2022, 15:17:51",89
"04/02/2022, 15:17:54",89
"04/02/2022, 15:17:57",91
"04/02/2022, 15:18:00",91
"04/02/2022, 15:18:03",91
"04/02/2022, 15:18:06",91
"04/02/2022, 15:18:09",91
"04/02/2022, 15:18:12",91
"04/02/2022, 15:18:15",91
"04/02/2022, 15:18:18",91
"04/02/2022, 15:18:21",91
"04/02/2022, 15:18:24",91
"04/02/2022, 15:18:27",91
"04/02/2022, 15:18:30",91
"04/02/2022, 15:18:33",91
"04/02/2022, 15:18:36",91
"04/02/2022, 15:18:39",91
"04/02/2022, 15:18:42",91
"04/02/2022, 15:18:45",91
"04/02/2022, 15:18:48",91
"04/02/2022, 15:18:51",91
"04/02/2022, 15:18:54",91
"04/02/2022, 15:18:57",91
"04/02/2022, 15:19:00",91
"04/02/2022, 15:19:03",91
"04/02/2022, 15:19:06",91
"04/02/2022, 15:19:09",91
"04/02/2022, 15:19:12",91
"04/02/2022, 15:19:15",91
"04/02/2022, 15:19:18",91
"04/02/2022, 15:19:21",91
"04/02/2022, 15:19:24",91
"04/02/2022, 15:19:27",91
"04/02/2022, 15:19:30",91
"04/02/2022, 15:19:33",91
"04/02/2022, 15:19:36",91
"04/02/2022, 15:19:39",91
"04/02/2022, 15:19:42",91
"04/02/2022, 15:19:45",91
"04/02/2022, 15:19:48",91
"04/02/2022, 15:19:51",91
"04/02/2022, 15:19:54",91
"04/02/2022, 15:19:57",91
"04/02/2022, 15:20:00",91
"04/02/2022, 15:20:03",91
"04/02/2022, 15:20:06",91
"04/02/2022, 15:20:09",91
"04/02/2022, 15:20:12",91
"04/02/2022, 15:20:15",91
"04/02/2022, 15:20:18",91
"04/02/2022, 15:20:21",91
"04/02/2022, 15:20:24",91
"04/02/2022, 15:20:27",91
"04/02/2022, 15:20:30",91
"04/02/2022, 15:20:33",91
"04/02/2022, 15:20:36",91
