time,flowcount
"04/02/2022, 15:16:27",1
"04/02/2022, 15:16:30",1
"04/02/2022, 15:16:33",1
"04/02/2022, 15:16:36",1
"04/02/2022, 15:16:39",1
"04/02/2022, 15:16:42",1
"04/02/2022, 15:16:45",1
"04/02/2022, 15:16:48",1
"04/02/2022, 15:16:51",1
"04/02/2022, 15:16:54",1
"04/02/2022, 15:16:57",1
"04/02/2022, 15:17:00",1
"04/02/2022, 15:17:03",1
"04/02/2022, 15:17:06",1
"04/02/2022, 15:17:09",1
"04/02/2022, 15:17:12",1
"04/02/2022, 15:17:15",1
"04/02/2022, 15:17:18",1
"04/02/2022, 15:17:21",1
"04/02/2022, 15:17:24",1
"04/02/2022, 15:17:27",1
"04/02/2022, 15:17:30",1
"04/02/2022, 15:17:33",1
"04/02/2022, 15:17:36",1
"04/02/2022, 15:17:39",1
"04/02/2022, 15:17:42",1
"04/02/2022, 15:17:45",1
"04/02/2022, 15:17:48",1
"04/02/2022, 15:17:51",1
"04/02/2022, 15:17:54",1
"04/02/2022, 15:17:57",1
"04/02/2022, 15:18:00",1
"04/02/2022, 15:18:03",1
"04/02/2022, 15:18:06",1
"04/02/2022, 15:18:09",1
"04/02/2022, 15:18:12",1
"04/02/2022, 15:18:15",1
"04/02/2022, 15:18:18",1
"04/02/2022, 15:18:21",1
"04/02/2022, 15:18:24",1
"04/02/2022, 15:18:27",1
"04/02/2022, 15:18:30",1
"04/02/2022, 15:18:33",1
"04/02/2022, 15:18:36",1
"04/02/2022, 15:18:39",1
"04/02/2022, 15:18:42",1
"04/02/2022, 15:18:45",1
"04/02/2022, 15:18:48",1
"04/02/2022, 15:18:51",1
"04/02/2022, 15:18:54",1
"04/02/2022, 15:18:57",1
"04/02/2022, 15:19:00",1
"04/02/2022, 15:19:03",1
"04/02/2022, 15:19:06",1
"04/02/2022, 15:19:09",1
"04/02/2022, 15:19:12",1
"04/02/2022, 15:19:15",1
"04/02/2022, 15:19:18",1
"04/02/2022, 15:19:21",1
"04/02/2022, 15:19:24",1
"04/02/2022, 15:19:27",1
"04/02/2022, 15:19:30",1
"04/02/2022, 15:19:33",1
"04/02/2022, 15:19:36",1
"04/02/2022, 15:19:39",1
"04/02/2022, 15:19:42",1
"04/02/2022, 15:19:45",1
"04/02/2022, 15:19:48",1
"04/02/2022, 15:19:51",1
"04/02/2022, 15:19:54",1
"04/02/2022, 15:19:57",1
"04/02/2022, 15:20:00",1
"04/02/2022, 15:20:03",1
"04/02/2022, 15:20:06",1
"04/02/2022, 15:20:09",1
"04/02/2022, 15:20:12",1
"04/02/2022, 15:20:15",1
"04/02/2022, 15:20:18",1
"04/02/2022, 15:20:21",1
"04/02/2022, 15:20:24",1
"04/02/2022, 15:20:27",1
"04/02/2022, 15:20:30",1
"04/02/2022, 15:20:33",1
"04/02/2022, 15:20:36",1
"04/02/2022, 15:20:39",1
"04/02/2022, 15:20:42",1
"04/02/2022, 15:20:45",1
"04/02/2022, 15:20:48",1
"04/02/2022, 15:20:51",1
"04/02/2022, 15:20:54",1
"04/02/2022, 15:20:57",1
"04/02/2022, 15:21:00",1
"04/02/2022, 15:21:03",1
"04/02/2022, 15:21:06",1
"04/02/2022, 15:21:09",1
"04/02/2022, 15:21:12",1
"04/02/2022, 15:21:15",1
"04/02/2022, 15:21:18",1
"04/02/2022, 15:21:21",1
"04/02/2022, 15:21:24",1
"04/02/2022, 15:21:27",1
time,flowcount
"04/02/2022, 15:22:24",1
"04/02/2022, 15:22:27",1
"04/02/2022, 15:22:30",1
"04/02/2022, 15:22:33",1
"04/02/2022, 15:22:36",1
"04/02/2022, 15:22:39",1
"04/02/2022, 15:22:42",1
"04/02/2022, 15:22:45",1
"04/02/2022, 15:22:48",1
"04/02/2022, 15:22:51",1
"04/02/2022, 15:22:54",1
"04/02/2022, 15:22:57",1
"04/02/2022, 15:23:00",1
"04/02/2022, 15:23:03",1
"04/02/2022, 15:23:06",1
"04/02/2022, 15:23:09",1
"04/02/2022, 15:23:12",1
"04/02/2022, 15:23:15",1
"04/02/2022, 15:23:18",1
"04/02/2022, 15:23:21",1
"04/02/2022, 15:23:24",1
"04/02/2022, 15:23:27",1
"04/02/2022, 15:23:30",1
"04/02/2022, 15:23:33",1
"04/02/2022, 15:23:36",1
"04/02/2022, 15:23:39",1
"04/02/2022, 15:23:42",1
"04/02/2022, 15:23:45",1
"04/02/2022, 15:23:48",1
"04/02/2022, 15:23:51",1
"04/02/2022, 15:23:54",1
"04/02/2022, 15:23:57",1
"04/02/2022, 15:24:00",1
