time,sfe,ssip,rfip,type
"04/02/2022, 15:23:09",-3002,-3002,1.0,1
"04/02/2022, 15:23:12",-3080,-3080,1.0,1
"04/02/2022, 15:23:15",-3200,-3200,1.0,1
"04/02/2022, 15:23:18",-3319,-3319,1.0,1
"04/02/2022, 15:23:21",-3439,-3439,1.0,1
"04/02/2022, 15:23:24",-3559,-3559,1.0,1
"04/02/2022, 15:23:27",-3678,-3678,1.0,1
"04/02/2022, 15:23:30",-3798,-3798,1.0,1
"04/02/2022, 15:23:33",-3918,-3918,1.0,1
"04/02/2022, 15:23:36",-4002,-4002,1.0,1
"04/02/2022, 15:23:39",-4095,-4095,1.0,1
"04/02/2022, 15:23:42",-4195,-4195,1.0,1
"04/02/2022, 15:23:45",-4295,-4295,1.0,1
"04/02/2022, 15:23:48",-4394,-4394,1.0,1
"04/02/2022, 15:23:51",-4494,-4494,1.0,1
"04/02/2022, 15:23:54",-4594,-4594,1.0,1
"04/02/2022, 15:23:57",-4693,-4693,1.0,1
"04/02/2022, 15:24:00",-4793,-4793,1.0,1
"04/02/2022, 15:24:03",-4893,-4893,1.0,1
"04/02/2022, 15:24:06",-4992,-4992,1.0,1
"04/02/2022, 15:24:09",-5050,-5050,1.0,1
"04/02/2022, 15:24:12",-5135,-5135,1.0,1
"04/02/2022, 15:24:16",-5220,-5220,1.0,1
"04/02/2022, 15:24:19",-5306,-5306,1.0,1
"04/02/2022, 15:24:22",-5391,-5391,1.0,1
"04/02/2022, 15:24:25",-5477,-5477,1.0,1
"04/02/2022, 15:24:28",-5562,-5562,1.0,1
"04/02/2022, 15:24:31",-5648,-5648,1.0,1
"04/02/2022, 15:24:34",-5733,-5733,1.0,1
"04/02/2022, 15:24:37",-5819,-5819,1.0,1
"04/02/2022, 15:24:40",-5904,-5904,1.0,1
"04/02/2022, 15:24:43",-5990,-5990,1.0,1
"04/02/2022, 15:24:46",-6041,-6041,1.0,1
"04/02/2022, 15:24:49",-6116,-6116,1.0,1
"04/02/2022, 15:24:52",-6190,-6190,1.0,1
"04/02/2022, 15:24:55",-6265,-6265,1.0,1
"04/02/2022, 15:24:58",-6340,-6340,1.0,1
"04/02/2022, 15:25:01",-6415,-6415,1.0,1
"04/02/2022, 15:25:04",-6489,-6489,1.0,1
"04/02/2022, 15:25:07",-6564,-6564,1.0,1
"04/02/2022, 15:25:10",-6639,-6639,1.0,1
"04/02/2022, 15:25:13",-6714,-6714,1.0,1
"04/02/2022, 15:25:16",-6789,-6789,1.0,1
"04/02/2022, 15:25:19",-6863,-6863,1.0,1
"04/02/2022, 15:25:22",-6938,-6938,1.0,1
"04/02/2022, 15:25:25",-7002,-7002,1.0,1
"04/02/2022, 15:25:28",-7055,-7055,1.0,1
"04/02/2022, 15:25:31",-7122,-7122,1.0,1
"04/02/2022, 15:25:34",-7188,-7188,1.0,1
"04/02/2022, 15:25:37",-7255,-7255,1.0,1
"04/02/2022, 15:25:40",-7321,-7321,1.0,1
"04/02/2022, 15:25:43",-7388,-7388,1.0,1
"04/02/2022, 15:25:46",-7454,-7454,1.0,1
"04/02/2022, 15:25:49",-7502,-7502,1.0,1
"04/02/2022, 15:25:52",-7558,-7558,1.0,1
"04/02/2022, 15:25:55",-7618,-7618,1.0,1
"04/02/2022, 15:25:58",-7678,-7678,1.0,1
"04/02/2022, 15:26:01",-7737,-7737,1.0,1
"04/02/2022, 15:26:04",-7797,-7797,1.0,1
"04/02/2022, 15:26:07",-7857,-7857,1.0,1
"04/02/2022, 15:26:10",-7917,-7917,1.0,1
